customer_id,order_month,revenue,ltv_cum
12346,2011-01-01,77183.6,77183.6
12347,2010-12-01,711.79,711.79
12347,2011-01-01,475.39,1187.1799999999998
12347,2011-04-01,636.25,1823.4299999999998
12347,2011-06-01,382.52,2205.95
12347,2011-08-01,584.9100000000001,2790.86
12347,2011-10-01,1294.32,4085.18
12347,2011-12-01,224.82,4310.0
12348,2010-12-01,892.8,892.8
12348,2011-01-01,227.44,1120.24
12348,2011-04-01,367.0,1487.24
12348,2011-09-01,310.0,1797.24
12349,2011-11-01,1757.55,1757.55
12350,2011-02-01,334.4,334.4
12352,2011-02-01,296.5,296.5
12352,2011-03-01,1265.31,1561.81
12352,2011-09-01,632.5,2194.31
12352,2011-11-01,311.73,2506.04
12353,2011-05-01,89.0,89.0
12354,2011-04-01,1079.4,1079.4
12355,2011-05-01,459.4,459.4
12356,2011-01-01,2271.62,2271.62
12356,2011-04-01,481.46000000000004,2753.08
12356,2011-11-01,58.349999999999994,2811.43
12357,2011-11-01,6207.67,6207.67
12358,2011-07-01,484.86,484.86
12358,2011-12-01,683.2,1168.06
12359,2011-01-01,547.5,547.5
12359,2011-02-01,1838.9099999999999,2386.41
12359,2011-06-01,1109.32,3495.7299999999996
12359,2011-10-01,2876.85,6372.58
12360,2011-05-01,1083.58,1083.58
12360,2011-08-01,534.7,1618.28
12360,2011-10-01,1043.78,2662.06
12361,2011-02-01,189.9,189.9
12362,2011-02-01,479.1,479.1
12362,2011-04-01,495.24,974.34
12362,2011-07-01,303.76,1278.1
12362,2011-08-01,469.25,1747.35
12362,2011-09-01,829.99,2577.34
12362,2011-10-01,1641.91,4219.25
12362,2011-11-01,477.94,4697.19
12362,2011-12-01,529.04,5226.23
12363,2011-04-01,299.1,299.1
12363,2011-08-01,252.9,552.0
12364,2011-08-01,623.92,623.92
12364,2011-09-01,79.8,703.7199999999999
12364,2011-10-01,299.06,1002.78
12364,2011-12-01,310.32,1313.1
12365,2011-02-01,641.38,641.38
12367,2011-12-01,168.9,168.9
